en_id,zh_id,label
100001,172313,1
100002,184318,1
100003,179836,1
100004,178099,1
100005,172414,1
100006,179797,1
100007,182309,1
100008,178750,0
100009,179797,0
100010,172409,1
100011,233160,0
100012,10085,1
100013,178106,1
100014,178092,1
100015,178745,1
100016,172414,0
100017,178103,0
100018,178103,1
100019,178105,0
100020,178105,1
100021,172367,1
100022,60284,0
100023,56070,1
100024,182300,0
100025,178130,1
100026,182292,0
100027,178099,0
100028,21177,0
100029,177990,1
100030,44466,1
100031,182511,1
100032,58149,1
100033,179797,1
100034,178137,1
100035,178129,0
100036,197993,0
100037,178586,1
100038,268264,0
100039,197979,0
100040,178741,0
100041,60196,1
100042,178692,1
100043,223930,0
100044,172377,1
100045,178753,1
100046,178734,1
100047,178692,1
100048,198057,0
100049,172369,0
100050,178768,0
100051,178243,0
100052,178675,1
100053,178091,0
100054,178675,1
100055,182226,0
100056,182195,1
100057,172370,1
100058,182226,1
100059,289403,0
100060,182206,0
100061,178691,1
100062,178691,0
100063,184307,1
100064,178852,1
100065,178265,0
100066,178677,1
100067,178584,0
100068,178702,0
100069,178679,1
100070,224754,1
100071,178853,1
100072,178740,1
100073,182517,1
100074,184267,1
100075,182283,1
100076,178748,1
100077,160593,1
100078,197979,0
100079,178841,1
100080,178741,0
100081,172371,1
100082,178853,1
100083,178584,1
100084,93985,0
100085,184295,1
100086,178735,1
100087,57584,1
100088,107448,0
100089,178138,1
100090,178751,1
100091,177013,1
100092,83394,0
100093,69677,1
100094,178132,1
100095,178128,1
100096,184369,1
100097,178266,1
100098,184297,1
100099,182278,1
100100,198224,1
100101,197972,1
100102,176630,1
100103,289415,0
100104,198252,1
100105,69681,1
100106,178773,1
100107,178737,1
100108,138271,0
100109,20859,0
100110,178140,1
100111,178840,1
100112,178126,1
100113,178850,1
100114,182282,1
100115,178269,1
100116,178002,1
100117,198118,1
100118,178095,1
100119,60167,1
100120,182214,1
100121,178757,1
100122,198248,1
100123,178763,0
100124,198093,0
100125,182286,1
100126,178263,1
100127,270660,0
100128,178854,1
100129,178847,1
100130,221939,0
100131,177993,1
100132,178746,1
100133,178762,1
100134,178763,1
100135,184294,1
100136,182487,1
100137,198231,0
100138,197910,1
100139,198093,1
100140,197990,1
100141,173710,1
100142,178261,1
100143,198248,0
100144,197976,1
100145,198228,1
100146,178774,1
100147,94418,1
100148,198010,0
100149,69692,1
100150,178698,1
100151,231213,1
100152,173715,1
100153,182230,1
100154,134227,0
100155,198239,1
100156,178744,0
100157,182294,1
100158,178851,1
100159,60312,0
100160,270468,0
100161,69692,0
100162,178761,1
100163,198227,1
100164,58081,1
100165,182508,0
100166,318814,1
100167,178682,1
100168,182508,1
100169,171747,1
100170,288367,0
100171,178754,1
100172,178682,0
100173,60310,1
100174,302927,0
100175,133308,0
100176,182509,1
100177,16424,0
100178,138023,0
100179,171750,1
100180,178747,1
100181,45033,1
100182,268318,1
100183,231201,1
100184,178100,1
100185,178100,0
100186,134158,0
100187,184225,0
100188,182281,1
100189,280753,1
100190,198018,1
100191,182523,1
100192,61424,1
100193,178249,1
100194,57703,1
100195,182105,1
100196,179827,1
100197,198231,1
100198,91288,0
100199,184293,1
100200,182191,1
100201,178733,1
100202,134108,0
100203,173245,1
100204,178239,1
100205,171749,0
100206,198241,1
100207,171749,1
100208,198251,1
100209,171745,1
100210,176631,1
100211,171748,0
100212,198213,1
100213,178876,0
100214,178749,1
100215,198260,1
100216,178240,0
100217,179808,0
100218,198259,0
100219,296249,1
100220,178296,1
100221,198020,1
100222,182328,1
100223,173242,0
100224,197973,1
100225,171753,1
100226,288375,0
100227,182504,0
100228,178700,1
100229,198212,1
100230,288881,1
100231,198236,1
100232,173250,1
100233,184225,0
100234,197983,1
100235,178235,0
100236,197979,1
100237,178583,1
100238,179833,1
100239,171824,1
100240,171820,1
100241,171777,0
100242,178837,1
100243,171753,0
100244,178697,1
100245,178293,1
100246,184322,1
100247,55678,1
100248,182251,1
100249,198259,1
100250,197985,1
100251,197996,1
100252,231817,0
100253,171790,0
100254,263425,0
100255,197977,1
100256,288117,1
100257,178287,1
100258,173242,1
100259,171777,1
100260,178235,1
100261,178859,0
100262,171775,1
100263,178233,1
100264,179808,1
100265,184319,0
100266,171785,1
100267,173708,1
100268,270500,0
100269,171739,0
100270,171738,1
100271,179825,1
100272,204199,1
100273,58734,0
100274,182488,1
100275,171737,1
100276,179807,1
100277,171482,1
100278,296248,0
100279,178880,1
100280,171739,1
100281,171778,1
100282,173243,1
100283,171800,1
100284,198029,1
100285,178145,0
100286,178284,1
100287,178779,1
100288,184299,0
100289,178145,1
100290,182247,1
100291,223645,0
100292,178583,0
100293,178153,1
100294,171760,0
100295,198010,1
100296,179809,1
100297,178736,1
100298,179821,0
100299,171759,1
100300,288111,1
100301,178797,1
100302,173247,1
100303,289745,1
100304,178820,0
100305,178799,1
100306,178806,0
100307,171821,1
100308,182530,0
100309,182242,1
100310,178870,0
100311,57668,1
100312,266682,0
100313,173716,1
100314,182338,1
100315,182320,1
100316,198048,1
100317,179972,1
100318,182528,0
100319,173702,1
100320,182319,1
100321,182256,1
100322,171760,1
100323,179802,1
100324,171755,1
100325,23044,1
100326,182250,1
100327,184310,1
100328,198098,1
100329,178826,1
100330,197970,1
100331,178787,1
100332,173727,1
100333,171769,0
100334,171736,0
100335,178150,1
100336,171793,1
100337,182110,1
100338,182252,1
100339,171781,1
100340,178297,0
100341,171796,1
100342,171783,1
100343,178831,1
100344,135365,1
100345,182330,1
100346,178793,0
100347,178148,1
100348,55488,1
100349,55488,0
100350,198225,1
100351,178858,1
100352,178794,1
100353,178821,1
100354,198225,0
100355,178820,0
100356,198013,1
100357,163841,0
100358,198226,1
100359,182194,1
100360,178826,0
100361,126362,1
100362,224112,0
100363,178276,1
100364,178793,0
100365,204230,1
100366,171782,1
100367,184301,1
100368,178857,1
100369,178793,1
100370,178777,1
100371,171827,0
100372,178820,1
100373,171794,1
100374,178294,1
100375,178791,0
100376,184292,1
100377,178791,1
100378,178812,0
100379,171774,1
100380,171776,1
100381,178152,1
100382,178819,1
100383,178783,1
100384,178146,1
100385,309807,1
100386,171742,0
100387,171772,0
100388,171788,0
100389,171787,1
100390,171806,1
100391,171742,1
100392,198264,1
100393,171763,0
100394,70683,1
100395,173697,1
100396,171799,1
100397,171751,1
100398,21336,0
100399,171825,0
100400,171795,1
100401,171770,1
100402,198230,0
100403,178152,0
100404,171828,1
100405,184245,1
100406,171752,1
100407,198245,1
100408,182258,1
100409,178806,1
100410,184291,1
100411,198007,0
100412,198001,1
100413,280734,0
100414,171767,1
100415,171792,1
100416,126352,0
100417,171768,1
100418,178687,0
100419,171798,1
100420,197904,1
100421,224823,0
100422,179803,1
100423,41617,1
100424,283063,0
100425,178863,0
100426,182241,0
100427,135326,1
100428,179977,1
100429,171826,1
100430,171767,0
100431,173722,1
100432,179805,0
100433,182241,1
100434,179805,0
100435,198265,1
100436,178290,1
100437,91022,0
100438,179975,0
100439,21164,0
100440,171811,1
100441,182239,0
100442,178231,0
100443,178796,1
100444,178232,1
100445,182318,0
100446,178108,1
100447,197971,1
100448,171825,0
100449,197991,1
100450,184265,1
100451,87263,0
100452,178855,0
100453,173712,1
100454,171832,1
100455,178082,1
100456,178114,0
100457,179805,1
100458,171825,0
100459,178109,1
100460,71131,1
100461,197903,1
100462,178291,0
100463,178785,0
100464,182192,1
